country,year,value
AL,2004,29.62
AL,2005,31.367
AL,2006,32.07
AL,2007,32.657
AL,2008,32.448
AL,2009,31.437
AL,2010,31.867
AL,2011,31.187
AL,2012,35.152
AL,2013,33.167
AL,2014,31.856
AL,2015,34.913
AL,2016,36.953
AL,2017,35.776
AL,2018,36.572
AL,2019,38.042
AL,2020,45.015
AL,2021,41.389
AT,2004,22.553
AT,2005,24.353
AT,2006,26.276
AT,2007,28.144
AT,2008,28.788
AT,2009,31.039
AT,2010,31.205
AT,2011,31.552
AT,2012,32.734
AT,2013,32.665
AT,2014,33.55
AT,2015,33.497
AT,2016,33.37
AT,2017,33.136
AT,2018,33.784
AT,2019,33.755
AT,2020,36.545
AT,2021,36.445
BE,2004,1.916
BE,2005,2.325
BE,2006,2.658
BE,2007,3.14
BE,2008,3.611
BE,2009,4.746
BE,2010,6.004
BE,2011,6.302
BE,2012,7.086
BE,2013,7.671
BE,2014,8.038
BE,2015,8.06
BE,2016,8.744
BE,2017,9.136
BE,2018,9.472
BE,2019,9.929
BE,2020,13
BE,2021,13.014
BG,2004,9.231
BG,2005,9.173
BG,2006,9.415
BG,2007,9.098
BG,2008,10.345
BG,2009,12.005
BG,2010,13.927
BG,2011,14.152
BG,2012,15.837
BG,2013,18.898
BG,2014,18.05
BG,2015,18.261
BG,2016,18.76
BG,2017,18.695
BG,2018,20.581
BG,2019,21.545
BG,2020,23.319
BG,2021,17.015
CY,2004,3.071
CY,2005,3.131
CY,2006,3.263
CY,2007,4.001
CY,2008,5.131
CY,2009,5.92
CY,2010,6.161
CY,2011,6.245
CY,2012,7.111
CY,2013,8.428
CY,2014,9.144
CY,2015,9.903
CY,2016,9.833
CY,2017,10.478
CY,2018,13.873
CY,2019,13.777
CY,2020,16.879
CY,2021,18.419
CZ,2004,6.773
CZ,2005,7.113
CZ,2006,7.362
CZ,2007,7.895
CZ,2008,8.674
CZ,2009,9.977
CZ,2010,10.513
CZ,2011,10.945
CZ,2012,12.814
CZ,2013,13.927
CZ,2014,15.074
CZ,2015,15.07
CZ,2016,14.926
CZ,2017,14.799
CZ,2018,15.139
CZ,2019,16.239
CZ,2020,17.303
CZ,2021,17.667
DE,2004,6.207
DE,2005,7.167
DE,2006,8.466
DE,2007,10.039
DE,2008,10.072
DE,2009,10.851
DE,2010,11.667
DE,2011,12.47
DE,2012,13.549
DE,2013,13.757
DE,2014,14.381
DE,2015,14.901
DE,2016,14.885
DE,2017,15.472
DE,2018,16.66
DE,2019,17.266
DE,2020,19.09
DE,2021,19.168
DK,2004,14.839
DK,2005,15.955
DK,2006,16.332
DK,2007,17.747
DK,2008,18.543
DK,2009,19.948
DK,2010,21.888
DK,2011,23.389
DK,2012,25.465
DK,2013,27.173
DK,2014,29.31
DK,2015,30.469
DK,2016,31.715
DK,2017,34.387
DK,2018,35.159
DK,2019,37.02
DK,2020,31.681
DK,2021,34.718
EE,2004,18.42
EE,2005,17.478
EE,2006,16.011
EE,2007,17.139
EE,2008,18.811
EE,2009,23.009
EE,2010,24.575
EE,2011,25.515
EE,2012,25.586
EE,2013,25.356
EE,2014,26.13
EE,2015,28.987
EE,2016,29.232
EE,2017,29.538
EE,2018,29.97
